t,x,y
0,1337.34939759036,1183.73493975904
1,1486.44578313253,1292.1686746988
2,1626.50602409639,1445.78313253012
3,1676.20481927711,1567.77108433735
4,1667.1686746988,1748.49397590361
5,1594.87951807229,2001.50602409639
6,1490.96385542169,2250
7,1364.4578313253,2394.57831325301
8,1215.36144578313,2421.68674698795
9,1012.04819277108,2326.82763574624
10,844.879518072289,2200.25426910896
11,691.265060240964,2021.36391092827
12,659.638554216867,1842.47355274758
13,709.33734939759,1700.71138211382
14,808.734939759036,1614.64149280047
15,885.542168674699,1508.31986482515
16,980.421686746988,1422.2499755118
17,1075.30120481928,1393.56001240735
18,1188.25301204819,1415.49939595782
19,1296.68674698795,1489.75577105169
20,1378.01204819277,1503.73493975904
