t,x,y
0,1043.67469879518,1183.73493975904
1,1219.87951807229,1314.75903614458
2,1414.15662650602,1504.51807228916
3,1558.73493975904,1667.1686746988
4,1649.09638554217,1843.3734939759
5,1694.27710843374,2001.50602409639
6,1640.06024096386,2195.78313253012
7,1481.92771084337,2326.80722891566
8,1328.31325301205,2421.68674698795
9,1143.07228915663,2403.61445783133
10,989.457831325301,2213.85542168675
11,844.879518072289,2015.06024096386
12,731.927710843374,1852.40963855422
13,691.265060240964,1644.57831325301
14,677.710843373494,1445.78313253012
15,704.819277108434,1296.68674698795
16,768.072289156627,1138.55421686747
17,862.951807228916,1057.22891566265
18,935.240963855422,1088.85542168675
19,1039.15662650602,1197.28915662651
20,1201.80722891566,1283.73493975904
