t,x,y
0,30.1512711286185,30.0295256006111
1,38.5187532789249,24.7242524691213
2,48.9764121186568,32.6305836885337
3,53.9300646565217,31.205546800683
4,64.5736081665746,32.3211079530551
5,75.5653633637611,35.46936627722
6,78.7308898729679,51.2286063776127
7,79.0862586649706,57.0098515836194
8,68.7354269438451,66.4175490313596
9,50.3725295784473,70.5588922987046
10,40.3934194839333,77.4719959186681
11,32.4114960296498,73.1367580720438
12,25.4978130043118,74.4833388805438
13,19.350701459415,63.9580486457336
14,19.6363515715392,57.7980360730399
15,13.8606276550252,55.5183548481632
16,15.5397925121415,46.1710698960298
17,14.7571067672551,41.9974174180511
18,22.474469711758,34.9828556125102
19,19.7642682924882,29.1693963000496
20,27.133180979695,29.730624402734
21,32.9228373936844,26.8965625760797
22,38.0391032325567,27.365496941329
23,52.6305727125078,26.7951519425932
24,61.9967197539787,32.068401175986

